word,length,freq,log_freq,concreteness,pos
vision,6,"20,427",9.925,3.39,NN
cycle,5,"20,451",9.926,3.64,NN|VB
chips,5,"20,592",9.933,4.9,NN|VB
printed,7,"20,613",9.934,4.03,VB|JJ
billion,7,"20,698",9.938,3.79,minor|NN
glass,5,"20,768",9.941,4.82,NN
tag,3,"20,783",9.942,4.25,NN|VB
noise,5,"20,803",9.943,3.52,NN
kid,3,"20,833",9.944,4.56,NN|VB
warm,4,"21,018",9.953,3.56,JJ|VB
flow,4,"21,063",9.955,3.72,NN|VB
captain,7,"21,156",9.96,4.19,NN|VB
alien,5,"21,215",9.962,3.52,JJ|NN
crap,4,"21,328",9.968,3.67,NN|VB|minor
weather,7,"21,328",9.968,3.83,NN|VB
summary,7,"21,338",9.968,3.03,NN
binary,6,"21,393",9.971,3,JJ|NN
stuck,5,"21,401",9.971,3.55,VB
spell,5,"21,472",9.975,3.32,NN|VB
wolf,4,"21,576",9.979,4.79,NN|VB
lake,4,"21,614",9.981,4.88,NN
roll,4,"21,720",9.986,4.16,NN|VB
backup,6,"21,879",9.993,3.2,NN|JJ
lie,3,"21,911",9.995,3.11,VB|NN
log,3,"21,912",9.995,4.96,NN|VB
rob,3,"21,934",9.996,3.48,VB|NN
header,6,"21,960",9.997,3.93,NN
apart,5,"22,038",10.001,3.15,RB
aids,4,"22,058",10.001,3.44,NN|VB
warning,7,"22,068",10.002,3.21,NN|VB
agent,5,"22,078",10.002,3.61,NN
survey,6,"22,164",10.006,4.08,NN
coast,5,"22,188",10.007,4.21,NN|VB
split,5,"22,189",10.007,3.96,NN|VB|JJ
soft,4,"22,233",10.009,3.88,JJ|RB
grant,5,"22,314",10.013,3.53,NN|VB
driving,7,"22,383",10.016,3.96,VB|NN
teach,5,"22,492",10.021,3.15,VB
listing,7,"22,521",10.022,3.15,NN|VB
bike,4,"22,527",10.022,5,NN|VB
catch,5,"22,587",10.025,4.11,VB|NN
arts,4,"22,653",10.028,3.75,NN
initial,7,"22,660",10.028,3.03,JJ|VB|NN
spread,6,"22,704",10.03,3.68,NN|VB|JJ
caught,6,"22,729",10.031,3.27,VB
seven,5,"22,750",10.032,3.72,minor|NN
sides,5,"22,750",10.032,3.82,NN|VB
license,7,"22,780",10.034,4,NN|VB
agency,6,"22,870",10.038,3.87,NN
writer,6,"22,933",10.04,4.32,NN
noted,5,"22,938",10.041,3.15,VB|JJ
chapter,7,"22,942",10.041,3.43,NN
colors,6,"22,947",10.041,4.17,NN|VB
label,5,"22,957",10.041,4.46,NN|VB
pop,3,"22,982",10.042,4.22,NN|VB
ray,3,"23,072",10.046,3.57,NN
reader,6,"23,072",10.046,3.89,NN
corner,6,"23,080",10.047,4.61,NN|VB
shape,5,"23,161",10.05,3.14,NN|VB
disease,7,"23,168",10.051,3.45,NN
pair,4,"23,219",10.053,3.88,NN|VB|JJ
score,5,"23,264",10.055,3.38,NN|VB
chain,5,"23,315",10.057,4.55,NN|VB
cock,4,"23,323",10.057,4.79,NN|VB
